No ,Pertanyaan ,Jawaban,Sumber
399,Mengapa kita dianjurkan meminum air zamzam setelah thawaf?,Kita dianjurkan meminum air zamzam setelah thawaf karena air zamzam memiliki banyak keutamaan dan keberkahan. Meminumnya setelah thawaf adalah salah satu cara untuk mendapatkan keberkahan tersebut. Apakah Anda ingin mengetahui lebih lanjut tentang tata cara meminum air zamzam setelah thawaf?,Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
400,Apa doa yang dianjurkan saat meminum air zamzam?,"Saat meminum air zamzam, dianjurkan untuk berdoa meminta kebaikan dunia dan akhirat. Doa yang sering dibaca adalah ""Allahumma inni as-aluka ilman naafi’an wa rizqan waasi’an wa shifaa’an min kulli daa’"" yang berarti ""Ya Allah, aku mohon ilmu yang bermanfaat, rezeki yang luas, dan kesembuhan dari segala penyakit."" Apakah Anda ingin mengetahui lebih banyak doa yang dianjurkan saat meminum air zamzam?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
401,Bagaimana cara minum air zamzam yang dianjurkan oleh Nabi?,"Cara minum air zamzam yang dianjurkan oleh Nabi adalah dengan niat yang tulus, berdoa sebelum meminumnya, dan meminumnya sambil menghadap kiblat. Setelah meminumnya, disarankan untuk berdoa kembali meminta kebaikan. Apakah Anda ingin mencoba cara ini saat meminum air zamzam?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
402,Apa yang harus dilakukan setelah selesai thawaf?,"Setelah selesai thawaf, disunnahkan untuk shalat dua rakaat di belakang maqam Ibrahim, kemudian meminum air zamzam dan membasahi tubuh dengannya. Setelah itu, menuju bukit Shafa untuk memulai sa’i. Apakah ada hal lain yang ingin Anda ketahui tentang rangkaian ibadah setelah thawaf?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
403,Apa yang dibaca ketika mendekati bukit Shafa untuk sa’i?,"Ketika mendekati bukit Shafa, dianjurkan membaca ""Inna ash-Shafaa wal-Marwata min Sya’aairillah"" yang berarti ""Sesungguhnya Shafa dan Marwa adalah sebagian dari syiar Allah"" (QS. Al-Baqarah: 158). Kemudian mengucapkan ""Nabda’u bimaa bada-Allah bih"" yang berarti ""Aku memulai dengan sesuatu yang dimulai oleh Allah."" Apakah Anda ingin mengetahui lebih banyak tentang doa-doa selama sa’i?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
404,Bagaimana tata cara sa’i antara Shafa dan Marwa?,"Tata cara sa’i adalah setelah shalat di maqam Ibrahim dan meminum air zamzam, jamaah menuju bukit Shafa, menghadap Ka'bah, mengangkat tangan dan membaca doa. Kemudian berjalan menuju bukit Marwa sambil memperbanyak doa dan dzikir, serta lari-lari kecil antara dua tanda hijau bagi laki-laki. Sa’i dilakukan sebanyak tujuh kali dengan berakhir di Marwa. Apakah Anda ingin mengetahui lebih lanjut tentang tata cara sa’i?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
405,Apa yang harus dibaca ketika berada di bukit Shafa?,"Ketika berada di bukit Shafa, dianjurkan untuk menghadap Ka'bah, mengangkat tangan, dan membaca doa: ""Allah Maha Besar, Allah Maha Besar, Allah Maha Besar. Tiada ilah yang berhak disembah kecuali Allah Yang Maha Esa, tiada sekutu bagi-Nya. Milik-Nya segala kerajaan dan segala pujian. Dia Yang Menghidupkan dan Yang Mematikan. Dia Maha Kuasa atas segala sesuatu."" Apakah ada doa lain yang ingin Anda ketahui?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
406,Berapa kali sa’i dilakukan antara Shafa dan Marwa?,"Sa’i dilakukan sebanyak tujuh kali dengan hitungan satu putaran dari Shafa ke Marwa, bukan dari Shafa ke Shafa lagi. Sa’i berakhir di bukit Marwa setelah tujuh putaran. Apakah Anda ingin mengetahui lebih detail tentang hitungan putaran sa’i?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
407,Apa yang harus dilakukan setelah selesai sa’i?,"Setelah selesai sa’i, jamaah hendaknya melakukan tahallul dengan mencukur rambut atau memotongnya pendek. Bagi laki-laki lebih utama jika menggundul, sedangkan bagi wanita cukup memotong sepanjang ujung jari. Apakah Anda ingin mengetahui lebih banyak tentang tahallul?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
408,Mengapa dianjurkan untuk mencium hajar aswad sebelum dan setelah thawaf?,"Mencium hajar aswad dianjurkan karena merupakan sunnah Nabi. Jika tidak bisa menciumnya, cukup dengan menyentuh atau memberi isyarat. Ini dilakukan sebagai bentuk penghormatan dan mengikuti teladan Nabi. Apakah Anda ingin mengetahui lebih lanjut tentang keutamaan mencium hajar aswad?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
409,Apa kesalahan umum yang sering dilakukan saat sa’i?,"Beberapa kesalahan umum saat sa’i antara lain mengucapkan niat sa’i dengan keras, melakukan doa secara berjama’ah, tidak lari-lari kecil antara dua tanda hijau, wanita ikut lari-lari kecil, dan memulai sa’i dari Marwa. Kesalahan lainnya adalah menganggap satu putaran sa’i dari Shafa ke Shafa lagi. Apakah ada hal lain yang ingin Anda tanyakan tentang sa’i?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
410,Bagaimana sikap yang benar saat melakukan sa’i?,"Sikap yang benar saat melakukan sa’i adalah berjalan dengan tenang dan khusyuk, memperbanyak doa dan dzikir, dan lari-lari kecil antara dua tanda hijau bagi laki-laki. Tidak diperbolehkan berdesak-desakan atau mengganggu jamaah lain. Apakah Anda ingin mengetahui lebih banyak tentang sikap yang tepat selama sa’i?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
411,Apa manfaat dari melakukan tahallul setelah sa’i?,"Tahallul setelah sa’i menandakan berakhirnya rangkaian ibadah umrah. Dengan tahallul, jamaah diperbolehkan melakukan hal-hal yang sebelumnya dilarang selama ihram, seperti memotong rambut, memakai wangi-wangian, dan memakai pakaian biasa. Apakah Anda ingin mengetahui lebih banyak tentang tahallul dan manfaatnya?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
412,Apa saja macam-macam ibadah haji?,"Macam-macam ibadah haji ada tiga: Haji Tamattu’, yaitu melaksanakan umrah pada bulan-bulan haji kemudian melanjutkannya dengan haji. Haji Qiran, yaitu berihram untuk umrah dan haji sekaligus pada bulan-bulan haji dan tetap dalam keadaan ihram sampai tanggal 10 Dzulhijjah. Haji Ifrad, yaitu berihram untuk haji saja pada bulan-bulan haji dari miqat atau rumahnya bagi yang tinggal di daerah antara miqat dan Makkah atau dari Makkah bagi yang tinggal di sana. Apakah ada hal lain yang ingin Anda tanyakan tentang macam-macam ibadah haji?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
413,Apa yang dimaksud dengan rukun haji?,"Rukun haji adalah bagian-bagian utama yang harus dilaksanakan dalam ibadah haji. Rukun haji meliputi: 1) Ihram, 2) Wukuf di Arafah, 3) Thawaf Ifadhah, dan 4) Sa’i. Jika salah satu rukun haji ini ditinggalkan, maka hajinya tidak sah dan tidak bisa dibayar dengan dam (denda). Apakah Anda ingin mengetahui lebih detail tentang setiap rukun haji?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
414,Apa saja kewajiban dalam ibadah haji?,"Kewajiban dalam ibadah haji meliputi: 1) Ihram dari miqat, 2) Wukuf di Arafah sampai tenggelam matahari, 3) Bermalam di Muzdalifah, 4) Bermalam di Mina pada malam-malam hari tasyrik, 5) Melempar 3 jamarat secara berurutan, 6) Mencukur rambut, dan 7) Thawaf wada’. Jika kewajiban ini tidak dilaksanakan, haji tetap sah namun harus diganti dengan membayar fidyah berupa kambing yang disembelih di Makkah dan dibagikan kepada orang-orang fakir Makkah. Apakah ada yang ingin Anda tanyakan tentang kewajiban haji?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
415,Apa saja sunnah-sunnah dalam ibadah haji?,"Sunnah dalam ibadah haji antara lain: 1) Mandi saat hendak ihram, 2) Mengenakan pakaian ihram yang terdiri dari dua lembar, 3) Talbiyah dengan suara keras, 4) Mabit di Mina pada malam Arafah, 5) Mencium hajar aswad, 6) Idhthiba’ saat thawaf qudum atau thawaf umrah, dan 7) Raml pada tiga putaran pertama thawaf qudum atau thawaf umrah. Tidak ada resiko apapun bagi yang meninggalkan sunnah ini. Apakah Anda ingin mengetahui lebih lanjut tentang sunnah haji?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
416,Apa yang dilakukan pada tanggal 8 Dzulhijjah dalam ibadah haji?,"Pada tanggal 8 Dzulhijjah, disebut hari tarwiyah, jamaah haji berihram dari tempatnya bagi yang haji tamattu’, lalu menuju Mina sebelum waktu dzuhur. Di Mina, jamaah menunaikan shalat dzuhur, ashar, maghrib, isya, dan shubuh di waktunya dengan diqashar tanpa jama’. Jamaah bermalam di Mina, dan pada pagi tanggal 9 Dzulhijjah setelah terbit matahari berangkat menuju Arafah dengan banyak membaca talbiyah. Apakah Anda memiliki pertanyaan mengenai manasik pada tanggal 8 Dzulhijjah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
417,Apa saja keutamaan hari Arafah?,"Hari Arafah memiliki banyak keutamaan, di antaranya: 1) Termasuk sepuluh hari pertama bulan Dzulhijjah, yang sangat dicintai Allah. 2) Hari pengampunan dosa, di mana Allah lebih banyak membebaskan hamba-Nya dari api neraka. 3) Hari penyempurnaan agama, di mana ayat yang menyatakan kesempurnaan agama Islam diturunkan. 4) Inti dari ibadah haji, di mana wukuf di Arafah merupakan salah satu rukun haji. Apakah Anda ingin mengetahui lebih detail tentang keutamaan hari Arafah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
418,Apa yang dilakukan jamaah haji saat wukuf di Arafah?,"Saat wukuf di Arafah, jamaah dianjurkan untuk singgah di masjid Namirah jika memungkinkan, memastikan berada dalam wilayah Arafah, dan menghabiskan waktu untuk bertalbiah, berdzikir, dan beristighfar. Jamaah juga disarankan untuk khusu’ dalam berdoa dengan mengangkat tangan dan menghadap kiblat, serta mengisi waktu dengan doa untuk diri sendiri, keluarga, dan lainnya. Apakah ada yang ingin Anda tanyakan mengenai wukuf di Arafah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
419,Apa yang harus dihindari saat wukuf di Arafah?,"Beberapa kesalahan yang harus dihindari saat wukuf di Arafah antara lain: berdiam di luar batas Arafah hingga matahari terbenam, keluar dari Arafah sebelum matahari tenggelam, berdesak-desakan untuk mendaki bukit Arafah (Jabal Rahmah) sampai puncaknya, tabarruk dan shalat di atas Jabal Rahmah, menghadap bukit Arafah saat berdoa, sibuk mengobrol dan bercanda, serta tidak khusu’ dalam berdoa. Apakah Anda ingin mengetahui lebih lanjut tentang kesalahan-kesalahan yang harus dihindari saat wukuf di Arafah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
420,Bagaimana tata cara mabit di Muzdalifah?,"Mabit di Muzdalifah dilakukan setelah matahari terbenam pada tanggal 9 Dzulhijjah. Jamaah haji menyusuri lembah Masy’aril Haram menuju Muzdalifah, lalu segera shalat maghrib dan isya secara jama’ dan qashar dengan dua kali iqamat dan satu adzan. Malam diisi dengan istirahat, dan jamaah bermalam di Muzdalifah hingga melaksanakan shalat subuh. Setelah shalat subuh, jamaah dianjurkan memperbanyak doa hingga matahari menguning sebelum terbit, lalu berangkat menuju Mina. Apakah ada yang ingin Anda ketahui lebih lanjut tentang mabit di Muzdalifah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
421,Apa yang dilakukan pada tanggal 10 Dzulhijjah dalam ibadah haji?,"Pada tanggal 10 Dzulhijjah, yang dikenal sebagai hari nahr (menyembelih kurban), jamaah haji melakukan beberapa manasik: 1) Melempar jumrah Aqabah, 2) Tahallul awwal dengan mencukur rambut kepala, 3) Menyembelih kurban, 4) Thawaf ifadhah, dan 5) Sa’i haji bagi yang belum melakukannya. Hari ini juga merupakan hari haji akbar dan hari yang paling utama dalam setahun. Apakah Anda ingin mengetahui lebih detail tentang kegiatan pada tanggal 10 Dzulhijjah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
422,Bagaimana cara melempar jumrah Aqabah?,"Melempar jumrah Aqabah dilakukan dengan tujuh kerikil berurutan dan bertakbir di setiap lemparan. Setelah melempar jumrah Aqabah, jamaah bisa menyembelih kurban jika wajib kurban, lalu mencukur rambut kepala. Ini adalah urutan yang afdhal, namun jika didahulukan antara satu dengan yang lainnya, maka tidak mengapa. Dengan mengerjakan tiga rangkaian manasik ini, jamaah haji telah dihalalkan dari setiap larangan ihram kecuali jima’ (hubungan badan). Apakah ada yang ingin Anda tanyakan mengenai cara melempar jumrah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
423,Apa yang harus diperhatikan saat melempar jumrah?,"Beberapa kesalahan yang harus dihindari saat melempar jumrah antara lain: melempar dengan kerikil besar atau benda lain, berdesak-desakan dan saling mendorong di tempat jumrah, melempar seluruh kerikil sekaligus, dan lemparan tidak sampai masuk ke tempatnya. Selain itu, jamaah juga harus berdoa seusai melempar jumrah sughra dan wustha, serta tidak perlu berdoa setelah melempar jumrah Aqabah. Apakah Anda ingin mengetahui lebih lanjut tentang kesalahan yang harus dihindari saat melempar jumrah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
424,Apa itu thawaf ifadhah dan bagaimana cara melaksanakannya?,"Thawaf ifadhah adalah salah satu rukun haji yang harus dilaksanakan agar haji seseorang sah. Cara melaksanakannya sama seperti thawaf umrah, namun tidak melakukan raml pada tiga putaran pertama dan tidak berpakaian dengan cara idhthiba’. Thawaf ifadhah dilakukan setelah melempar jumrah Aqabah pada pagi hari raya Iduladha tanggal 10 Dzulhijjah, atau boleh diakhirkan sampai selesai hari-hari Mina (tasyrik). Setelah selesai thawaf ifadhah, semua larangan ihram menjadi halal. Apakah ada yang ingin Anda tanyakan mengenai thawaf ifadhah?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
425,Apa yang dimaksud dengan sa’i haji?,"Sa’i haji adalah salah satu rukun haji yang tidak boleh ditinggalkan. Sa’i haji dilakukan setelah thawaf ifadhah bagi yang melaksanakan haji tamattu’, atau bagi yang melaksanakan haji qiran dan ifrad jika belum melakukan sa’i haji setelah thawaf qudum. Sa’i dilakukan sebanyak tujuh kali dari Shafa ke Marwah. Apakah Anda ingin mengetahui lebih lanjut tentang tata cara sa’i haji?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
426,Bagaimana tata cara bermalam di Mina pada hari-hari tasyrik?,"Bermalam di Mina pada hari-hari tasyrik (11, 12, dan 13 Dzulhijjah) hukumnya wajib. Pada hari-hari ini, jamaah melempar tiga jamarat setelah matahari tergelincir. Setelah melempar, jamaah dianjurkan memperbanyak dzikir dan doa, serta bersikap tenang dan tidak berdesak-desakan. Jamaah yang ingin cepat keluar dari Mina (nafar awwal) harus melempar tiga jamarat pada hari kedua belas dan keluar sebelum matahari terbenam. Apakah ada hal lain yang ingin Anda ketahui tentang bermalam di Mina?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
427,Apa yang dilakukan pada hari tasyrik dalam ibadah haji?,"Pada hari tasyrik, jamaah haji melempar tiga jamarat setelah matahari tergelincir, memperbanyak dzikir dan doa, serta bersikap tenang dan tidak berdesak-desakan. Hari tasyrik juga merupakan hari untuk makan, minum, dan menampakkan kegembiraan. Jamaah dianjurkan untuk memperbanyak takbir, bukan talbiyah, dan melantunkan takbir setiap lemparan. Apakah Anda ingin mengetahui lebih lanjut tentang kegiatan pada hari tasyrik?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
428,Apa itu thawaf wada’ dan bagaimana cara melaksanakannya?,"Thawaf wada’ adalah thawaf penutup dari seluruh rangkaian manasik haji dan hukumnya wajib. Jamaah haji tidak boleh meninggalkan Makkah tanpa melaksanakan thawaf wada’, kecuali bagi wanita yang sedang haid. Thawaf wada’ dilakukan seperti thawaf biasa tanpa raml dan idhthiba’. Dengan selesai thawaf wada’, ibadah haji telah selesai, dan jamaah dianjurkan untuk bersyukur kepada Allah atas nikmat haji dan berdoa agar hajinya diterima. Apakah ada yang ingin Anda tanyakan mengenai thawaf wada’?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
429,Apa yang dimaksud dengan haji badal?,Haji badal adalah ibadah haji yang dilakukan seseorang untuk mewakili orang lain yang tidak mampu melaksanakan haji karena sakit parah atau lanjut usia. Haji badal juga bisa dilakukan untuk orang yang sudah meninggal. Beberapa hadits menunjukkan bahwa haji badal sah dilakukan dengan syarat orang yang menghajikan sudah pernah melaksanakan haji untuk dirinya sendiri. Apakah Anda ingin mengetahui lebih banyak tentang tata cara haji badal?,Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
430,Apa syarat-syarat seseorang boleh dihajikan?,"Syarat-syarat seseorang boleh dihajikan adalah: 1) Tidak mampu berangkat haji sendiri karena sakit parah atau lanjut usia, 2) Orang yang menghajikan harus berniat untuk orang yang dihajikan saat ihram, dan 3) Orang yang menghajikan sudah pernah menunaikan haji untuk dirinya sendiri. Jika seseorang mampu berangkat haji sendiri, maka hajinya tidak boleh diwakilkan. Apakah Anda ingin mengetahui lebih lanjut tentang syarat-syarat haji badal?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
431,Bagaimana cara mewakilkan haji untuk orang yang sudah meninggal?,"Untuk mewakilkan haji bagi orang yang sudah meninggal, seseorang harus memenuhi syarat-syarat haji badal, yaitu berniat untuk orang yang dihajikan saat ihram dan sudah pernah menunaikan haji untuk dirinya sendiri. Orang yang menghajikan bisa berangkat dari tempat tinggalnya atau dari miqat terdekat di Arab Saudi. Haji badal dianggap sah dan pahalanya akan sampai kepada orang yang dihajikan. Apakah Anda ingin mengetahui lebih detail tentang cara mewakilkan haji untuk orang yang sudah meninggal?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
432,Apa yang harus dilakukan jika seseorang meninggal dunia sebelum berhaji?,"Jika seseorang meninggal dunia sebelum sempat melaksanakan haji, maka ahli warisnya wajib menghajikan dengan harta warisnya, baik dia berwasiat atau tidak. Ini karena kewajiban haji dianggap sebagai hutang yang harus dibayar. Pendapat ini didasarkan pada hadits-hadits yang menyatakan bahwa pahala haji badal akan sampai kepada orang yang dihajikan. Apakah ada hal lain yang ingin Anda tanyakan tentang haji badal?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
433,Apakah wanita boleh menghajikan pria dan sebaliknya?,"Ya, wanita boleh menghajikan pria dan sebaliknya. Hadits-hadits menunjukkan bahwa hajinya seorang lelaki untuk wanita atau seorang wanita menghajikan lelaki hukumnya sah. Para ulama sepakat bahwa wanita boleh menghajikan wanita lainnya dan juga pria, baik putrinya sendiri atau selainnya. Apakah Anda ingin mengetahui lebih lanjut tentang kebolehan ini dalam haji badal?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
434,Apa yang dimaksud dengan masalah kontemporer haji?,"Masalah kontemporer haji merujuk pada persoalan-persoalan baru yang muncul akibat perkembangan zaman dan teknologi, yang tidak ada pada zaman dahulu dan tidak dibahas dalam kitab-kitab klasik. Masalah ini memerlukan kedalaman ilmu dan fatwa ulama masa kini untuk memberikan solusi yang relevan dengan konteks zaman sekarang. Contoh masalah kontemporer dalam haji adalah penggunaan pesawat terbang sebagai alat transportasi yang memunculkan persoalan miqat baru. Apakah ada hal lain yang ingin Anda ketahui tentang masalah kontemporer haji?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
435,Apa saja pendapat ulama tentang miqat jamaah haji yang datang melalui Bandara King Abdul Aziz di Jeddah?,"Ada dua pendapat utama ulama tentang miqat jamaah haji yang datang melalui Bandara King Abdul Aziz di Jeddah. Pendapat pertama mengatakan bahwa jamaah haji bisa memulai ihram dari Jeddah, didukung oleh ulama seperti Syaikh Musthafa Zarqa dan MUI. Dalilnya termasuk kemudahan dalam Islam dan penetapan miqat sebagai perkara ijtihadi. Pendapat kedua, yang didukung oleh mayoritas ulama Arab Saudi, menyatakan bahwa jamaah harus ihram sebelum melewati miqat yang telah ditetapkan oleh Nabi. Mereka berpendapat bahwa melewati miqat tanpa ihram tidak dibolehkan. Apakah Anda ingin mengetahui lebih detail tentang alasan kedua pendapat ini?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
436,Mengapa sebagian ulama membolehkan miqat dari Jeddah untuk jamaah haji Indonesia?,"Sebagian ulama membolehkan miqat dari Jeddah karena beberapa alasan: 1) Penetapan miqat adalah perkara ijtihadi, seperti yang dilakukan Umar bin Khaththab. 2) Hal ini sesuai dengan kemudahan Islam karena ihram di atas pesawat dianggap memberatkan. 3) Pesawat tidak ada pada zaman Nabi, sehingga tidak ada ketetapan langsung tentang miqat di udara. Mereka berpendapat bahwa ulama masa kini berhak menetapkan miqat baru sesuai kondisi zaman. Apakah Anda ingin mengetahui lebih banyak tentang dalil-dalil yang digunakan oleh pendapat ini?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
437,Apa alasan ulama yang menolak miqat dari Jeddah untuk jamaah haji?,"Ulama yang menolak miqat dari Jeddah beralasan bahwa: 1) Dalil-dalil keumuman memerintahkan ihram dari miqat yang telah ditetapkan Nabi. 2) Para ulama sepakat bahwa melewati miqat tanpa ihram bagi yang ingin umrah atau haji adalah haram. 3) Mayoritas ulama dari madzhab Hanafiyyah, Malikiyyah, Syafi'iyyah, dan Hanabilah berpendapat bahwa wajib ihram dari miqat yang ada, baik darat maupun laut. 4) Qiyas kepada shalat dan puasa yang tidak membedakan antara darat dan udara. 5) Jeddah sudah ada sejak zaman Nabi, namun tidak dijadikan miqat. Apakah ada yang ingin Anda tanyakan mengenai alasan-alasan ini?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
438,Apa pendapat yang kuat tentang miqat bagi jamaah haji yang datang melalui Bandara King Abdul Aziz di Jeddah?,"Pendapat yang kuat menurut ulama adalah bahwa jamaah haji atau umrah harus memulai ihramnya apabila melewati miqat di tengah perjalanan, bukan di Jeddah. Hal ini berdasarkan keumuman dalil yang memerintahkan ihram dari miqat yang telah ditetapkan, kesepakatan ulama bahwa haram melewati miqat tanpa ihram, serta sikap kehati-hatian dalam ibadah haji dan umrah yang mungkin hanya dilakukan sekali seumur hidup. Apakah Anda ingin mengetahui lebih lanjut tentang pendapat ini dan alasan-alasannya?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
439,Apa hukum meminum obat pencegah haid bagi wanita yang ingin beribadah haji atau umrah?,Meminum obat pencegah haid pada asalnya dibolehkan dengan tiga syarat: 1) Tidak membahayakan dan tidak menimbulkan efek samping. 2) Atas persetujuan dan ketetapan dokter yang ahli dan amanah. 3) Mendapat izin dari suami. Para ulama seperti Imam Ahmad membolehkan wanita meminum obat pencegah haid jika obat tersebut diakui dan tidak berbahaya. Apakah ada hal lain yang ingin Anda ketahui tentang penggunaan obat pencegah haid dalam ibadah haji?,Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
440,Bagaimana hukum bersuci di atas pesawat saat melakukan perjalanan haji?,"Hukum asalnya bagi penumpang pesawat yang hendak shalat adalah menggunakan air untuk berwudhu. Jika tidak ada air atau tidak bisa menggunakannya karena sakit atau membahayakan pesawat, maka diperbolehkan bertayamum. Hal ini sesuai dengan firman Allah dalam QS. Al-Maidah: 6 dan QS. An-Nisaa: 43. Rasulullah juga bersabda bahwa tanah yang suci adalah alat bersuci bagi seorang muslim jika tidak mendapatkan air. Apakah Anda ingin mengetahui lebih lanjut tentang tata cara bersuci di atas pesawat?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
441,Bagaimana tata cara shalat di atas pesawat?,"Tata cara shalat di atas pesawat sebagai berikut: 1) Shalat sunnah boleh dilakukan di tempat duduk bagaimanapun arah pesawat dan rukuk serta sujud dengan merendahkan kepala. 2) Shalat wajib harus dilakukan dengan berdiri jika mampu dan menghadap kiblat. Jika tidak tahu arah kiblat, maka shalat dengan dugaan kuat. Jika khawatir kehabisan waktu, shalat di atas pesawat dengan cara berdiri, rukuk, i'tidal, dan sujud semampunya. Shalat yang empat rakaat diqashar jika dalam perjalanan. Apakah ada hal lain yang ingin Anda tanyakan tentang shalat di atas pesawat?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
442,Bagaimana hukum jual beli di pesawat?,"Hukum jual beli di pesawat adalah boleh dan sah, baik pesawat belum lepas landas atau sudah terbang. Hal ini berdasarkan kaidah bahwa asal segala muamalat dunia hukumnya adalah boleh sampai ada dalil yang melarangnya. Dalil ini didukung oleh banyak ulama dan hadits Nabi yang menyatakan bahwa urusan dunia terserah kepada manusia. Namun, tidak boleh jual beli barang-barang haram seperti khamr dan babi. Apakah Anda ingin mengetahui lebih lanjut tentang hukum muamalat di pesawat?",Panduan Ibadah Haji Sesuai Sunnah Nabi Oleh Abu Ubaidah Yusuf bin Mukhtar As-Sidawi
